User,Card,Year,Month,Day,Time,Amount,Use Chip,Merchant Name,Merchant City,Merchant State,Zip,MCC,Errors?,Is Fraud?
385,0,2002,9,10,06:31,42.53,Swipe Transaction,-34551508091458520,La Verne,CA,91750.0,5912,,No
191,0,2002,9,10,21:39,73.01,Swipe Transaction,-6733168469687845480,Mira Loma,CA,91752.0,7832,,No
443,0,2002,9,11,06:28,131.89,Swipe Transaction,4060646732831064559,La Verne,CA,91750.0,5411,,No
276,0,2002,9,11,06:33,109.68,Swipe Transaction,-34551508091458520,La Verne,CA,91750.0,5912,,No
160,0,2002,9,11,13:06,139.73,Swipe Transaction,2027553650310142703,Mira Loma,CA,91752.0,5541,,No
459,0,2002,9,11,13:17,122.49,Swipe Transaction,2027553650310142703,Mira Loma,CA,91752.0,5541,,No
313,0,2002,9,11,13:23,68.53,Swipe Transaction,2027553650310142703,Mira Loma,CA,91752.0,5541,,No
21,0,2002,9,11,19:30,44.26,Swipe Transaction,-1605794445852049456,La Verne,CA,91750.0,5812,,No
252,0,2002,9,12,06:21,39.65,Swipe Transaction,4060646732831064559,La Verne,CA,91750.0,5411,Insufficient Balance,No
235,0,2002,9,12,06:26,10.88,Swipe Transaction,4060646732831064559,La Verne,CA,91750.0,5411,,No
344,0,2002,9,12,06:50,1.0,Swipe Transaction,4060646732831064559,La Verne,CA,91750.0,5411,,No
48,0,2002,9,12,11:43,247.73,Swipe Transaction,6666504894937430109,La Verne,CA,91750.0,5499,,No
474,0,2002,9,13,06:22,100.86,Swipe Transaction,1913477460590765860,La Verne,CA,91750.0,5300,,No
58,0,2002,9,13,06:37,76.87,Swipe Transaction,-34551508091458520,La Verne,CA,91750.0,5912,,No
169,0,2002,9,14,06:09,47.68,Swipe Transaction,-34551508091458520,La Verne,CA,91750.0,5912,,No
475,0,2002,9,14,13:08,126.93,Swipe Transaction,-4500542936415012428,La Verne,CA,91750.0,5814,,No
187,0,2002,9,15,05:34,193.33,Swipe Transaction,5817218446178736267,La Verne,CA,91750.0,5912,,No
463,0,2002,9,15,06:18,152.16,Swipe Transaction,-245178307025547046,La Verne,CA,91750.0,5311,,No
270,0,2002,9,15,06:55,169.15,Swipe Transaction,4060646732831064559,La Verne,CA,91750.0,5411,,No
189,0,2002,9,15,13:54,39.91,Swipe Transaction,-5904116920141006298,Diamond Bar,CA,91765.0,5719,,No
445,0,2002,9,16,06:00,89.82,Swipe Transaction,3527213246127876953,La Verne,CA,91750.0,5300,,No
174,0,2002,9,16,06:45,41.04,Swipe Transaction,4060646732831064559,La Verne,CA,91750.0,5411,,No
445,0,2002,9,17,06:09,99.35,Swipe Transaction,-34551508091458520,La Verne,CA,91750.0,5912,Insufficient Balance,No
50,0,2002,9,17,06:24,199.23,Swipe Transaction,-34551508091458520,La Verne,CA,91750.0,5912,,No
363,0,2002,9,18,06:19,127.83,Swipe Transaction,3527213246127876953,La Verne,CA,91750.0,5300,,No
54,0,2002,9,18,20:01,229.58,Swipe Transaction,-4500542936415012428,La Verne,CA,91750.0,5814,,No
243,0,2002,9,19,06:25,65.45,Swipe Transaction,5817218446178736267,La Verne,CA,91750.0,5912,,No
319,0,2002,9,19,09:42,21.02,Swipe Transaction,4055257078481058705,La Verne,CA,91750.0,7538,,No
130,0,2002,9,20,06:01,134.06,Swipe Transaction,-245178307025547046,La Verne,CA,91750.0,5311,Insufficient Balance,No
484,0,2002,9,20,06:17,100.36,Swipe Transaction,-245178307025547046,La Verne,CA,91750.0,5311,,No
306,0,2002,9,21,06:27,117.83,Swipe Transaction,2027553650310142703,Mira Loma,CA,91752.0,5541,,No
134,0,2002,9,21,06:47,105.02,Swipe Transaction,-5475680618560174533,Monterey Park,CA,91755.0,5942,,No
20,0,2002,9,21,14:23,48.66,Swipe Transaction,-727612092139916043,Monterey Park,CA,91754.0,5411,,No
328,0,2002,9,22,06:50,106.95,Swipe Transaction,4060646732831064559,La Verne,CA,91750.0,5411,,No
166,0,2002,9,22,09:29,173.59,Swipe Transaction,4055257078481058705,La Verne,CA,91750.0,7538,,No
273,0,2002,9,22,09:37,182.39,Swipe Transaction,3952145593743244256,La Verne,CA,91750.0,7538,,No
387,0,2002,9,22,20:16,48.23,Swipe Transaction,-5023497618971072366,Mira Loma,CA,91752.0,5812,,No
88,0,2002,9,23,06:01,109.97,Swipe Transaction,3527213246127876953,La Verne,CA,91750.0,5300,,No
315,0,2002,9,23,06:46,216.76,Swipe Transaction,-34551508091458520,La Verne,CA,91750.0,5912,,No
13,0,2002,9,23,20:26,50.08,Swipe Transaction,-4500542936415012428,La Verne,CA,91750.0,5814,,No
241,0,2002,9,24,06:07,34.52,Swipe Transaction,3527213246127876953,La Verne,CA,91750.0,5300,,No
264,0,2002,9,25,06:19,158.25,Swipe Transaction,5817218446178736267,La Verne,CA,91750.0,5912,,No
345,0,2002,9,25,06:36,143.22,Swipe Transaction,-727612092139916043,Monterey Park,CA,91754.0,5411,,No
52,0,2002,9,25,13:01,18.45,Swipe Transaction,-1288082279022882052,La Verne,CA,91750.0,5499,,No
385,0,2002,9,25,13:10,1.0,Swipe Transaction,-1288082279022882052,La Verne,CA,91750.0,5499,,No
339,0,2002,9,25,13:14,108.31,Swipe Transaction,-1288082279022882052,La Verne,CA,91750.0,5499,,No
91,0,2002,9,26,06:25,54.3,Swipe Transaction,3527213246127876953,La Verne,CA,91750.0,5300,,No
366,0,2002,9,27,06:21,1.0,Swipe Transaction,-727612092139916043,Monterey Park,CA,91754.0,5411,,No
443,0,2002,9,27,08:01,31.29,Swipe Transaction,4060646732831064559,La Verne,CA,91750.0,5411,,No
454,0,2002,9,27,09:42,141.82,Swipe Transaction,4055257078481058705,La Verne,CA,91750.0,7538,,No
427,0,2002,9,28,05:36,77.2,Swipe Transaction,4060646732831064559,La Verne,CA,91750.0,5411,,No
263,0,2002,9,28,06:23,224.39,Swipe Transaction,5817218446178736267,La Verne,CA,91750.0,5912,,No
430,0,2002,9,28,09:32,1.0,Swipe Transaction,4055257078481058705,La Verne,CA,91750.0,7538,,No
34,0,2002,9,28,13:13,204.84,Swipe Transaction,7945328079774550558,La Verne,CA,91750.0,4900,,No
205,0,2002,9,29,06:06,60.71,Swipe Transaction,5817218446178736267,La Verne,CA,91750.0,5912,Insufficient Balance,No
80,0,2002,9,29,06:22,48.32,Swipe Transaction,5817218446178736267,La Verne,CA,91750.0,5912,Insufficient Balance,No
419,0,2002,9,29,06:33,1.0,Swipe Transaction,5817218446178736267,La Verne,CA,91750.0,5912,,No
49,0,2002,9,29,20:15,130.03,Swipe Transaction,838425044734233142,Mira Loma,CA,91752.0,4814,,No
359,0,2002,9,30,06:21,1.0,Online Transaction,-7421093378627544099,ONLINE,,,5311,,No
387,0,2002,9,30,06:57,160.27,Swipe Transaction,-34551508091458520,La Verne,CA,91750.0,5912,,No
1,0,2002,9,30,12:52,1.0,Swipe Transaction,2027553650310142703,Mira Loma,CA,91752.0,5541,,No
389,0,2002,9,30,20:07,1.0,Swipe Transaction,-4500542936415012428,La Verne,CA,91750.0,5814,,No
53,0,2002,10,1,06:15,1.0,Swipe Transaction,5817218446178736267,La Verne,CA,91750.0,5912,,No
105,0,2002,10,1,06:56,28.82,Swipe Transaction,-727612092139916043,Monterey Park,CA,91754.0,5411,,No
259,0,2002,10,1,11:34,170.91,Swipe Transaction,3527213246127876953,La Verne,CA,91750.0,5300,,No
309,0,2002,10,2,06:17,219.06,Swipe Transaction,2027553650310142703,Mira Loma,CA,91752.0,5541,,No
476,0,2002,10,3,05:59,37.68,Swipe Transaction,4060646732831064559,La Verne,CA,91750.0,5411,,No
190,0,2002,10,3,06:12,86.19,Swipe Transaction,-727612092139916043,Monterey Park,CA,91754.0,5411,,No
401,0,2002,10,3,06:50,132.16,Swipe Transaction,-5475680618560174533,Monterey Park,CA,91755.0,5942,,No
217,0,2002,10,4,06:20,61.96,Swipe Transaction,3527213246127876953,La Verne,CA,91750.0,5300,,No
43,0,2002,10,5,09:34,128.8,Swipe Transaction,-3345936507911876459,La Verne,CA,91750.0,7538,,No
161,0,2002,10,5,10:38,89.83,Swipe Transaction,9137769173591184401,La Verne,CA,91750.0,7210,,No
201,0,2002,10,6,06:14,68.46,Online Transaction,-7421093378627544099,ONLINE,,,5311,,No
445,0,2002,10,7,06:24,1.0,Swipe Transaction,4060646732831064559,La Verne,CA,91750.0,5411,,No
483,0,2002,10,8,06:24,102.95,Swipe Transaction,-4282466774399734331,Mira Loma,CA,91752.0,4829,,No
269,0,2002,10,8,06:26,172.31,Swipe Transaction,5817218446178736267,La Verne,CA,91750.0,5912,,No
350,0,2002,10,8,08:24,23.48,Swipe Transaction,5445101915276107289,La Verne,CA,91750.0,5193,,No
303,0,2002,10,9,06:10,1.0,Swipe Transaction,2027553650310142703,Mira Loma,CA,91752.0,5541,,No
270,0,2002,10,9,06:44,62.79,Swipe Transaction,-5475680618560174533,Monterey Park,CA,91755.0,5942,,No
455,0,2002,10,9,08:16,219.56,Online Transaction,-4956618006720593695,ONLINE,,,5193,,No
461,0,2002,10,10,06:24,194.04,Swipe Transaction,-34551508091458520,La Verne,CA,91750.0,5912,,No
214,0,2002,10,11,05:52,40.43,Swipe Transaction,5817218446178736267,La Verne,CA,91750.0,5912,,No
251,0,2002,10,11,06:08,129.21,Swipe Transaction,4060646732831064559,La Verne,CA,91750.0,5411,,No
189,0,2002,10,11,06:57,142.75,Swipe Transaction,-5475680618560174533,Monterey Park,CA,91755.0,5942,,No
295,0,2002,10,11,20:00,217.89,Swipe Transaction,-4500542936415012428,La Verne,CA,91750.0,5814,,No
212,0,2002,10,12,06:29,1.0,Swipe Transaction,4060646732831064559,La Verne,CA,91750.0,5411,,No
207,0,2002,10,13,06:21,1.0,Swipe Transaction,3527213246127876953,La Verne,CA,91750.0,5300,,No
236,0,2002,10,13,06:33,1.0,Swipe Transaction,5817218446178736267,La Verne,CA,91750.0,5912,,No
337,0,2002,10,13,13:00,32.04,Swipe Transaction,-1288082279022882052,La Verne,CA,91750.0,5499,,No
366,0,2002,10,13,13:15,181.55,Swipe Transaction,-1288082279022882052,La Verne,CA,91750.0,5499,,No
52,0,2002,10,13,13:17,42.21,Swipe Transaction,-1288082279022882052,La Verne,CA,91750.0,5499,,No
279,0,2002,10,14,06:12,1.0,Swipe Transaction,5817218446178736267,La Verne,CA,91750.0,5912,,No
409,0,2002,10,14,06:12,109.6,Swipe Transaction,-2187837027406294082,San Diego,CA,92123.0,3058,,No
216,0,2002,10,14,18:58,111.8,Swipe Transaction,7834055923142137930,Tilden,NE,68781.0,3395,,No
251,0,2002,10,15,06:03,3.02,Swipe Transaction,6042526206085641250,Lincoln,NE,68521.0,5912,,No
187,0,2002,10,15,13:11,46.81,Swipe Transaction,-4334232547381218591,Lincoln,NE,68521.0,5541,,No
379,0,2002,10,15,13:17,103.08,Swipe Transaction,-4334232547381218591,Lincoln,NE,68521.0,5541,,No
492,0,2002,10,15,13:21,154.1,Swipe Transaction,-4334232547381218591,Lincoln,NE,68521.0,5541,,No
40,0,2002,10,15,16:49,34.57,Swipe Transaction,-3348978172739825871,Lincoln,NE,68521.0,5651,,No
156,0,2002,10,16,11:47,22.22,Swipe Transaction,7834055923142137930,Tilden,NE,68781.0,3395,,No
14,0,2002,10,16,11:54,254.07,Swipe Transaction,7834055923142137930,Tilden,NE,68781.0,3395,,No
300,0,2002,10,16,14:09,66.69,Swipe Transaction,-727612092139916043,Monterey Park,CA,91754.0,5411,,No
64,0,2002,10,16,20:01,111.55,Swipe Transaction,-811651038065591449,La Verne,CA,91750.0,6300,,No
344,0,2002,10,17,06:09,145.74,Swipe Transaction,3527213246127876953,La Verne,CA,91750.0,5300,,No
326,0,2002,10,18,06:12,1.0,Swipe Transaction,4060646732831064559,La Verne,CA,91750.0,5411,,No
8,0,2002,10,18,11:32,88.59,Swipe Transaction,6666504894937430109,La Verne,CA,91750.0,5499,,No
343,0,2002,10,19,06:29,1.0,Swipe Transaction,4060646732831064559,La Verne,CA,91750.0,5411,,No
128,0,2002,10,19,06:47,78.97,Swipe Transaction,-34551508091458520,La Verne,CA,91750.0,5912,,No
491,0,2002,10,20,06:46,207.85,Swipe Transaction,-34551508091458520,La Verne,CA,91750.0,5912,,No
135,0,2002,10,21,06:47,4.61,Swipe Transaction,-34551508091458520,La Verne,CA,91750.0,5912,,No
471,0,2002,10,21,12:31,1.0,Swipe Transaction,2027553650310142703,Mira Loma,CA,91752.0,5541,,No
62,0,2002,10,21,12:39,251.94,Swipe Transaction,2027553650310142703,Mira Loma,CA,91752.0,5541,,No
138,0,2002,10,21,12:52,1.0,Swipe Transaction,2027553650310142703,Mira Loma,CA,91752.0,5541,,No
498,0,2002,10,22,06:07,1.0,Swipe Transaction,1913477460590765860,La Verne,CA,91750.0,5300,,No
80,0,2002,10,23,06:00,228.92,Swipe Transaction,1913477460590765860,La Verne,CA,91750.0,5300,,No
391,0,2002,10,23,09:32,1.0,Swipe Transaction,-3345936507911876459,La Verne,CA,91750.0,7538,,No
162,0,2002,10,24,06:19,231.14,Swipe Transaction,5817218446178736267,La Verne,CA,91750.0,5912,,No
418,0,2002,10,24,13:04,113.66,Swipe Transaction,-1288082279022882052,La Verne,CA,91750.0,5499,,No
288,0,2002,10,24,13:23,200.21,Swipe Transaction,-1288082279022882052,La Verne,CA,91750.0,5499,,No
378,0,2002,10,24,13:26,106.12,Swipe Transaction,-1288082279022882052,La Verne,CA,91750.0,5499,,No
260,0,2002,10,25,06:06,182.7,Swipe Transaction,-727612092139916043,Monterey Park,CA,91754.0,5411,,No
489,0,2002,10,25,06:14,11.47,Swipe Transaction,4060646732831064559,La Verne,CA,91750.0,5411,,No
230,0,2002,10,25,13:48,37.59,Swipe Transaction,-5904116920141006298,Diamond Bar,CA,91765.0,5719,,No
40,0,2002,10,25,20:10,1.0,Swipe Transaction,-4500542936415012428,La Verne,CA,91750.0,5814,,No
27,0,2002,10,26,06:05,173.45,Swipe Transaction,5817218446178736267,La Verne,CA,91750.0,5912,,No
134,0,2002,10,26,06:55,126.13,Swipe Transaction,-5475680618560174533,Monterey Park,CA,91755.0,5942,,No
200,0,2002,10,26,22:13,3.85,Swipe Transaction,-8135850083113399757,La Verne,CA,91750.0,8043,,No
327,0,2002,10,27,06:04,1.0,Swipe Transaction,2027553650310142703,Mira Loma,CA,91752.0,5541,,No
267,0,2002,10,27,06:40,114.33,Swipe Transaction,-34551508091458520,La Verne,CA,91750.0,5912,,No
417,0,2002,10,28,06:17,233.8,Swipe Transaction,-245178307025547046,La Verne,CA,91750.0,5311,,No
32,0,2002,10,28,11:41,78.35,Swipe Transaction,6666504894937430109,La Verne,CA,91750.0,5499,,No
47,0,2002,10,29,13:20,33.75,Swipe Transaction,2027553650310142703,Mira Loma,CA,91752.0,5541,,No
406,0,2002,10,29,21:44,9.87,Swipe Transaction,-3265671264153192329,Monterey Park,CA,91754.0,7832,,No
61,0,2002,10,30,06:05,197.24,Swipe Transaction,-727612092139916043,Monterey Park,CA,91754.0,5411,,No
215,0,2002,10,30,06:48,23.4,Swipe Transaction,5817218446178736267,La Verne,CA,91750.0,5912,,No
292,0,2002,10,31,06:11,58.37,Swipe Transaction,-245178307025547046,La Verne,CA,91750.0,5311,,No
98,0,2002,10,31,06:56,179.45,Swipe Transaction,-5475680618560174533,Monterey Park,CA,91755.0,5942,,No
171,0,2002,10,31,13:08,144.81,Swipe Transaction,2027553650310142703,Mira Loma,CA,91752.0,5541,,No
359,0,2002,10,31,13:09,61.65,Swipe Transaction,2027553650310142703,Mira Loma,CA,91752.0,5541,,No
213,0,2002,10,31,13:11,30.28,Swipe Transaction,2027553650310142703,Mira Loma,CA,91752.0,5541,,No
474,0,2002,11,1,10:59,215.77,Swipe Transaction,-86825621511712373,La Verne,CA,91750.0,7230,,No
34,0,2002,11,1,13:53,1.0,Swipe Transaction,-5475680618560174533,Monterey Park,CA,91755.0,5942,,No
448,0,2002,11,1,19:16,72.16,Swipe Transaction,2027553650310142703,Mira Loma,CA,91752.0,5541,,No
226,0,2002,11,1,20:25,1.0,Swipe Transaction,838425044734233142,Mira Loma,CA,91752.0,4814,,No
100,0,2002,11,2,06:05,192.06,Swipe Transaction,-245178307025547046,La Verne,CA,91750.0,5311,,No
430,0,2002,11,2,06:15,49.48,Swipe Transaction,-727612092139916043,Monterey Park,CA,91754.0,5411,,No
461,0,2002,11,2,19:59,30.22,Swipe Transaction,3527213246127876953,La Verne,CA,91750.0,5300,,No
130,0,2002,11,3,05:36,146.88,Swipe Transaction,3527213246127876953,La Verne,CA,91750.0,5300,,No
256,0,2002,11,3,06:05,1.0,Swipe Transaction,5817218446178736267,La Verne,CA,91750.0,5912,,No
4,0,2002,11,4,06:03,144.63,Swipe Transaction,3527213246127876953,La Verne,CA,91750.0,5300,,No
217,0,2002,11,4,13:20,59.28,Swipe Transaction,-245178307025547046,La Verne,CA,91750.0,5311,,No
254,0,2002,11,4,20:00,1.0,Swipe Transaction,-4500542936415012428,La Verne,CA,91750.0,5814,,No
397,0,2002,11,5,05:41,5.31,Swipe Transaction,-727612092139916043,Monterey Park,CA,91754.0,5411,,No
358,0,2002,11,5,06:28,31.54,Swipe Transaction,2027553650310142703,Mira Loma,CA,91752.0,5541,,No
282,0,2002,11,5,16:43,52.12,Online Transaction,4241336128694185533,ONLINE,,,4814,,No
392,0,2002,11,7,06:08,1.0,Swipe Transaction,-727612092139916043,Monterey Park,CA,91754.0,5411,,No
206,0,2002,11,7,06:50,115.42,Swipe Transaction,1913477460590765860,La Verne,CA,91750.0,5300,,No
14,0,2002,11,8,06:18,1.0,Swipe Transaction,-245178307025547046,La Verne,CA,91750.0,5311,,No
345,0,2002,11,8,06:35,1.0,Swipe Transaction,-34551508091458520,La Verne,CA,91750.0,5912,,No
41,0,2002,11,9,06:19,254.68,Swipe Transaction,-34551508091458520,La Verne,CA,91750.0,5912,,No
379,0,2002,11,9,09:44,107.14,Swipe Transaction,7945328079774550558,La Verne,CA,91750.0,4900,,No
460,0,2002,11,9,21:09,262.38,Swipe Transaction,-5023497618971072366,Mira Loma,CA,91752.0,5812,,No
178,0,2002,11,10,06:23,1.0,Swipe Transaction,2027553650310142703,Mira Loma,CA,91752.0,5541,,No
62,0,2002,11,10,06:32,131.29,Swipe Transaction,-727612092139916043,Monterey Park,CA,91754.0,5411,,No
351,0,2002,11,10,09:45,166.84,Swipe Transaction,7945328079774550558,La Verne,CA,91750.0,4900,,No
230,0,2002,11,10,12:39,73.95,Swipe Transaction,-1288082279022882052,La Verne,CA,91750.0,5499,,No
240,0,2002,11,10,12:50,1.0,Swipe Transaction,-1288082279022882052,La Verne,CA,91750.0,5499,,No
51,0,2002,11,10,12:57,67.51,Swipe Transaction,-1288082279022882052,La Verne,CA,91750.0,5499,,No
95,0,2002,11,10,13:09,143.86,Swipe Transaction,-1288082279022882052,La Verne,CA,91750.0,5499,,No
387,0,2002,11,10,13:12,140.58,Swipe Transaction,-1288082279022882052,La Verne,CA,91750.0,5499,,No
221,0,2002,11,10,13:20,90.04,Swipe Transaction,-1288082279022882052,La Verne,CA,91750.0,5499,,No
484,0,2002,11,11,06:10,167.07,Swipe Transaction,4060646732831064559,La Verne,CA,91750.0,5411,,No
406,0,2002,11,11,07:16,163.03,Swipe Transaction,-245178307025547046,La Verne,CA,91750.0,5311,,No
230,0,2002,11,13,20:06,45.3,Swipe Transaction,-1605794445852049456,La Verne,CA,91750.0,5812,,No
236,0,2002,11,14,05:29,1.0,Swipe Transaction,-34551508091458520,La Verne,CA,91750.0,5912,,No
142,0,2002,11,14,06:25,106.5,Swipe Transaction,4060646732831064559,La Verne,CA,91750.0,5411,,No
170,0,2002,11,15,07:36,26.19,Swipe Transaction,-5475680618560174533,Monterey Park,CA,91755.0,5942,,No
28,0,2002,11,15,09:37,102.49,Swipe Transaction,-3345936507911876459,La Verne,CA,91750.0,7538,,No
35,0,2002,11,15,14:05,205.48,Swipe Transaction,6661973303171003879,Ontario,CA,91761.0,5211,,No
12,0,2002,11,15,22:06,127.67,Swipe Transaction,3527213246127876953,La Verne,CA,91750.0,5300,,No
159,0,2002,11,16,06:28,201.26,Swipe Transaction,-245178307025547046,La Verne,CA,91750.0,5311,,No
326,0,2002,11,16,09:59,3.5,Swipe Transaction,4055257078481058705,La Verne,CA,91750.0,7538,,No
186,0,2002,11,17,06:14,183.37,Swipe Transaction,5817218446178736267,La Verne,CA,91750.0,5912,,No
242,0,2002,11,17,20:33,233.85,Swipe Transaction,-4500542936415012428,La Verne,CA,91750.0,5814,,No
85,0,2002,11,18,06:24,95.69,Swipe Transaction,5817218446178736267,La Verne,CA,91750.0,5912,,No
283,0,2002,11,18,07:03,289.17,Swipe Transaction,2027553650310142703,Mira Loma,CA,91752.0,5541,,No
65,0,2002,11,19,05:58,16.7,Swipe Transaction,3527213246127876953,La Verne,CA,91750.0,5300,,No
169,0,2002,11,19,13:35,35.43,Swipe Transaction,8080934608468946743,Monterey Park,CA,91754.0,5310,,No
44,0,2002,11,19,19:42,145.87,Swipe Transaction,-1605794445852049456,La Verne,CA,91750.0,5812,,No
61,0,2002,11,20,06:27,94.84,Swipe Transaction,-245178307025547046,La Verne,CA,91750.0,5311,,No
440,0,2002,11,20,07:48,26.51,Swipe Transaction,5817218446178736267,La Verne,CA,91750.0,5912,,No
133,0,2002,11,20,09:42,143.23,Swipe Transaction,3952145593743244256,La Verne,CA,91750.0,7538,,No
283,0,2002,11,22,06:07,120.64,Swipe Transaction,4060646732831064559,La Verne,CA,91750.0,5411,,No
27,0,2002,11,22,06:41,39.93,Swipe Transaction,-245178307025547046,La Verne,CA,91750.0,5311,,No
107,0,2002,11,22,09:31,106.38,Swipe Transaction,3952145593743244256,La Verne,CA,91750.0,7538,,No
43,0,2002,11,23,06:11,155.22,Swipe Transaction,5817218446178736267,La Verne,CA,91750.0,5912,,No
339,0,2002,11,23,06:16,38.03,Swipe Transaction,-727612092139916043,Monterey Park,CA,91754.0,5411,,No
285,0,2002,11,23,06:47,134.48,Swipe Transaction,-34551508091458520,La Verne,CA,91750.0,5912,,No
445,0,2002,11,23,11:18,15.87,Swipe Transaction,3129259766334579731,La Verne,CA,91750.0,8011,,No
330,0,2002,11,24,05:50,32.43,Swipe Transaction,-34551508091458520,La Verne,CA,91750.0,5912,,No
127,0,2002,11,24,20:56,185.43,Swipe Transaction,-4500542936415012428,La Verne,CA,91750.0,5814,,No
347,0,2002,11,25,06:12,142.77,Swipe Transaction,2027553650310142703,Mira Loma,CA,91752.0,5541,,No
472,0,2002,11,25,06:43,1.0,Swipe Transaction,-5475680618560174533,Monterey Park,CA,91755.0,5942,,No
230,0,2002,11,25,13:04,58.11,Swipe Transaction,-1288082279022882052,La Verne,CA,91750.0,5499,,No
189,0,2002,11,25,13:27,132.14,Swipe Transaction,-1288082279022882052,La Verne,CA,91750.0,5499,,No
224,0,2002,11,25,13:29,102.08,Swipe Transaction,-1288082279022882052,La Verne,CA,91750.0,5499,,No
384,0,2002,11,25,16:52,143.15,Swipe Transaction,-5904116920141006298,Diamond Bar,CA,91765.0,5719,,No
376,0,2002,11,26,06:28,100.12,Swipe Transaction,1913477460590765860,La Verne,CA,91750.0,5300,,No
282,0,2002,11,26,11:21,78.81,Swipe Transaction,6515854639642454768,Calexico,CA,92231.0,3066,,No
445,0,2002,11,27,05:32,76.19,Swipe Transaction,-245178307025547046,La Verne,CA,91750.0,5311,,No
120,0,2002,11,27,06:22,183.69,Swipe Transaction,5817218446178736267,La Verne,CA,91750.0,5912,,No
115,0,2002,11,27,20:07,149.73,Swipe Transaction,-1605794445852049456,La Verne,CA,91750.0,5812,,No
460,0,2002,11,28,06:14,124.86,Swipe Transaction,-245178307025547046,La Verne,CA,91750.0,5311,,No
232,0,2002,11,28,06:53,97.79,Swipe Transaction,-727612092139916043,Monterey Park,CA,91754.0,5411,,No
258,0,2002,11,29,06:14,43.14,Swipe Transaction,5817218446178736267,La Verne,CA,91750.0,5912,,No
358,0,2002,11,29,06:41,63.89,Swipe Transaction,-727612092139916043,Monterey Park,CA,91754.0,5411,,No
197,0,2002,11,30,06:32,181.41,Swipe Transaction,5817218446178736267,La Verne,CA,91750.0,5912,,No
455,0,2002,11,30,16:46,173.34,Swipe Transaction,3527213246127876953,La Verne,CA,91750.0,5300,,No
410,0,2002,12,1,05:35,34.6,Swipe Transaction,-727612092139916043,Monterey Park,CA,91754.0,5411,,No
136,0,2002,12,1,06:22,98.74,Swipe Transaction,-245178307025547046,La Verne,CA,91750.0,5311,,No
317,0,2002,12,2,06:13,132.89,Swipe Transaction,-727612092139916043,Monterey Park,CA,91754.0,5411,,No
